game_id,team,starter_id,starter_name
ANA199908020,KC,rosaj001,Jose Rosado
ANA199908020,LAA,mcdoj001,Jack McDowell
ANA199908030,KC,suppj001,Jeff Suppan
ANA199908030,LAA,fyhrm001,Mike Fyhrie
ANA199908040,KC,witaj001,Jay Witasick
ANA199908040,LAA,hillk001,Ken Hill
ANA199908050,BOS,roseb002,Brian Rose
ANA199908050,LAA,finlc001,Chuck Finley
ANA199908060,BOS,sabeb001,Bret Saberhagen
ANA199908060,LAA,spars001,Steve Sparks
ANA199908070,BOS,rappp001,Pat Rapp
ANA199908070,LAA,belct001,Tim Belcher
ANA199908080,BOS,martp001,Pedro Martinez
ANA199908080,LAA,mcdoj001,Jack McDowell
ANA199908090,CLE,colob001,Bartolo Colon
ANA199908090,LAA,hillk001,Ken Hill
ANA199908100,CLE,langm001,Mark Langston
ANA199908100,LAA,finlc001,Chuck Finley
ANA199908110,CLE,burbd001,Dave Burba
ANA199908110,LAA,spars001,Steve Sparks
ANA199908200,DET,moehb001,Brian Moehler
ANA199908200,LAA,finlc001,Chuck Finley
ANA199908210,DET,weavj002,Jeff Weaver
ANA199908210,LAA,washj001,Jarrod Washburn
ANA199908220,DET,mlicd001,Dave Mlicki
ANA199908220,LAA,spars001,Steve Sparks
ANA199908230,DET,borkd001,Dave Borkowski
ANA199908230,LAA,belct001,Tim Belcher
ANA199908240,LAA,ortir002,Ramon Ortiz
ANA199908240,TOR,hentp001,Pat Hentgen
ANA199908250,LAA,finlc001,Chuck Finley
ANA199908250,TOR,hamij002,Joey Hamilton
ANA199909030,LAA,belct001,Tim Belcher
ANA199909030,NYY,petta001,Andy Pettitte
ANA199909040,LAA,ortir002,Ramon Ortiz
ANA199909040,NYY,irabh001,Hideki Irabu
ANA199909050,LAA,fyhrm001,Mike Fyhrie
ANA199909050,NYY,yarne001,Ed Yarnall
ANA199909060,LAA,washj001,Jarrod Washburn
ANA199909060,NYY,clemr001,Roger Clemens
ANA199909070,CHW,sirom001,Mike Sirotka
ANA199909070,LAA,coopb001,Brian Cooper
ANA199909080,CHW,baldj002,James Baldwin
ANA199909080,LAA,belct001,Tim Belcher
ANA199909170,BAL,erics001,Scott Erickson
ANA199909170,LAA,washj001,Jarrod Washburn
ANA199909180,BAL,ponss001,Sidney Ponson
ANA199909180,LAA,coopb001,Brian Cooper
ANA199909190,BAL,mussm001,Mike Mussina
ANA199909190,LAA,fyhrm001,Mike Fyhrie
ANA199909200,LAA,finlc001,Chuck Finley
ANA199909200,TB,alvaw001,Wilson Alvarez
ANA199909210,LAA,ortir002,Ramon Ortiz
ANA199909210,TB,eilad001,Dave Eiland
ANA199909220,LAA,washj001,Jarrod Washburn
ANA199909220,TB,wheed001,Dan Wheeler
ANA199909280,ATH,hudst001,Tim Hudson
ANA199909280,LAA,washj001,Jarrod Washburn
ANA199909290,ATH,olivo001,Omar Olivares
ANA199909290,LAA,coopb001,Brian Cooper
ANA199909300,ATH,hereg001,Gil Heredia
ANA199909300,LAA,finlc001,Chuck Finley
ANA199910010,LAA,ortir002,Ramon Ortiz
ANA199910010,TEX,loaie001,Esteban Loaiza
ANA199910020,LAA,levia001,Al Levine
ANA199910020,TEX,hellr001,Rick Helling
ANA199910030,LAA,washj001,Jarrod Washburn
ANA199910030,TEX,perim001,Matt Perisho
ANA200004030,LAA,hillk001,Ken Hill
ANA200004030,NYY,herno001,Orlando Hernandez
ANA200004040,LAA,bottk001,Kent Bottenfield
ANA200004040,NYY,clemr001,Roger Clemens
ANA200004050,LAA,schos001,Scott Schoeneweis
ANA200004050,NYY,coned001,David Cone
ANA200004070,BOS,schop001,Pete Schourek
ANA200004070,LAA,dickj001,Jason Dickson
ANA200004080,BOS,roseb002,Brian Rose
ANA200004080,LAA,hillk001,Ken Hill
ANA200004090,BOS,martp001,Pedro Martinez
ANA200004090,LAA,bottk001,Kent Bottenfield
ANA200004100,LAA,schos001,Scott Schoeneweis
ANA200004100,TOR,carpc002,Chris Carpenter
ANA200004110,LAA,ortir002,Ramon Ortiz
ANA200004110,TOR,escok001,Kelvim Escobar
ANA200004120,LAA,dickj001,Jason Dickson
ANA200004120,TOR,castf001,Frank Castillo
ANA200004240,DET,mlicd001,Dave Mlicki
ANA200004240,LAA,hillk001,Ken Hill
ANA200004250,DET,nomoh001,Hideo Nomo
ANA200004250,LAA,bottk001,Kent Bottenfield
ANA200004260,DET,nitkc001,C.J. Nitkowski
ANA200004260,LAA,schos001,Scott Schoeneweis
ANA200004270,LAA,ortir002,Ramon Ortiz
ANA200004270,TB,goodd001,Dwight Gooden
ANA200004280,LAA,dickj001,Jason Dickson
ANA200004280,TB,yan-e001,Esteban Yan
ANA200004290,LAA,hillk001,Ken Hill
ANA200004290,TB,eilad001,Dave Eiland
ANA200004300,LAA,bottk001,Kent Bottenfield
ANA200004300,TB,tracs001,Steve Trachsel
ANA200005080,ATH,priea001,Ariel Prieto
ANA200005080,LAA,ortir002,Ramon Ortiz
ANA200005090,ATH,hereg001,Gil Heredia
ANA200005090,LAA,hillk001,Ken Hill
ANA200005100,ATH,muldm001,Mark Mulder
ANA200005100,LAA,bottk001,Kent Bottenfield
ANA200005110,LAA,merck001,Kent Mercker
ANA200005110,TEX,rogek001,Kenny Rogers
ANA200005120,LAA,schos001,Scott Schoeneweis
ANA200005120,TEX,david002,Doug Davis
ANA200005130,LAA,washj001,Jarrod Washburn
ANA200005130,TEX,hellr001,Rick Helling
ANA200005140,LAA,dickj001,Jason Dickson
ANA200005140,TEX,loaie001,Esteban Loaiza
ANA200005160,BAL,erics001,Scott Erickson
ANA200005160,LAA,bottk001,Kent Bottenfield
ANA200005170,BAL,rappp001,Pat Rapp
ANA200005170,LAA,schos001,Scott Schoeneweis
ANA200005190,KC,suppj001,Jeff Suppan
ANA200005190,LAA,washj001,Jarrod Washburn
ANA200005200,KC,suzum001,Mac Suzuki
ANA200005200,LAA,levia001,Al Levine
ANA200005210,KC,fussc001,Chris Fussell
ANA200005210,LAA,bottk001,Kent Bottenfield
ANA200006020,LAA,bottk001,Kent Bottenfield
ANA200006020,LAD,dreid001,Darren Dreifort
ANA200006030,LAA,coopb001,Brian Cooper
ANA200006030,LAD,parkc002,Chan Ho Park
ANA200006040,LAA,washj001,Jarrod Washburn
ANA200006040,LAD,perec001,Carlos Perez
ANA200006050,LAA,schos001,Scott Schoeneweis
ANA200006050,SF,hernl003,Livan Hernandez
ANA200006060,LAA,ethes001,Seth Etherton
ANA200006060,SF,nathj001,Joe Nathan
ANA200006070,LAA,bottk001,Kent Bottenfield
ANA200006070,SF,ortir001,Russ Ortiz
ANA200006200,KC,suppj001,Jeff Suppan
ANA200006200,LAA,coopb001,Brian Cooper
ANA200006210,KC,suzum001,Mac Suzuki
ANA200006210,LAA,washj001,Jarrod Washburn
ANA200006220,KC,witaj001,Jay Witasick
ANA200006220,LAA,belct001,Tim Belcher
ANA200006230,LAA,ethes001,Seth Etherton
ANA200006230,MIN,ryanj001,Jason Ryan
ANA200006240,LAA,bottk001,Kent Bottenfield
ANA200006240,MIN,milte001,Eric Milton
ANA200006250,LAA,coopb001,Brian Cooper
ANA200006250,MIN,redmm002,Mark Redman
ANA200006260,LAA,washj001,Jarrod Washburn
ANA200006260,MIN,radkb001,Brad Radke
ANA200006300,ATH,muldm001,Mark Mulder
ANA200006300,LAA,coopb001,Brian Cooper
ANA200007010,ATH,priea001,Ariel Prieto
ANA200007010,LAA,washj001,Jarrod Washburn
ANA200007020,ATH,hudst001,Tim Hudson
ANA200007020,LAA,belct001,Tim Belcher
ANA200007030,LAA,hillk001,Ken Hill
ANA200007030,SEA,moyej001,Jamie Moyer
ANA200007040,LAA,bottk001,Kent Bottenfield
