game_id,date,season,season_label,sport,game_type,team,opponent,home_away,score_for,score_against,result,margin,total,decided_in,line,total_line,moneyline,odds_win,odds_draw,implied_win,line_result,ou_result,favorite
1990020085,1990-10-20,1990,1990-91,nhl,regular,NJD,WSH,A,0,4,L,-4,4,REG,,,,,,,,,
1990020085,1990-10-20,1990,1990-91,nhl,regular,WSH,NJD,H,4,0,W,4,4,REG,,,,,,,,,
1990020086,1990-10-20,1990,1990-91,nhl,regular,CHI,TOR,A,2,6,L,-4,8,REG,,,,,,,,,
1990020086,1990-10-20,1990,1990-91,nhl,regular,TOR,CHI,H,6,2,W,4,8,REG,,,,,,,,,
1990020087,1990-10-20,1990,1990-91,nhl,regular,DAL,STL,A,2,2,T,0,4,OT,,,,,,,,,
1990020087,1990-10-20,1990,1990-91,nhl,regular,STL,DAL,H,2,2,T,0,4,OT,,,,,,,,,
1990020088,1990-10-21,1990,1990-91,nhl,regular,VAN,COL,A,3,2,W,1,5,REG,,,,,,,,,
1990020088,1990-10-21,1990,1990-91,nhl,regular,COL,VAN,H,2,3,L,-1,5,REG,,,,,,,,,
1990020089,1990-10-21,1990,1990-91,nhl,regular,DAL,CHI,A,1,7,L,-6,8,REG,,,,,,,,,
1990020089,1990-10-21,1990,1990-91,nhl,regular,CHI,DAL,H,7,1,W,6,8,REG,,,,,,,,,
1990020090,1990-10-21,1990,1990-91,nhl,regular,CGY,EDM,A,2,1,W,1,3,REG,,,,,,,,,
1990020090,1990-10-21,1990,1990-91,nhl,regular,EDM,CGY,H,1,2,L,-1,3,REG,,,,,,,,,
1990020091,1990-10-22,1990,1990-91,nhl,regular,TOR,NYR,A,1,5,L,-4,6,REG,,,,,,,,,
1990020091,1990-10-22,1990,1990-91,nhl,regular,NYR,TOR,H,5,1,W,4,6,REG,,,,,,,,,
1990020092,1990-10-23,1990,1990-91,nhl,regular,MTL,PIT,A,5,4,W,1,9,REG,,,,,,,,,
1990020092,1990-10-23,1990,1990-91,nhl,regular,PIT,MTL,H,4,5,L,-1,9,REG,,,,,,,,,
1990020093,1990-10-23,1990,1990-91,nhl,regular,NJD,NYI,A,8,1,W,7,9,REG,,,,,,,,,
1990020093,1990-10-23,1990,1990-91,nhl,regular,NYI,NJD,H,1,8,L,-7,9,REG,,,,,,,,,
1990020094,1990-10-23,1990,1990-91,nhl,regular,WSH,PHI,A,6,2,W,4,8,REG,,,,,,,,,
1990020094,1990-10-23,1990,1990-91,nhl,regular,PHI,WSH,H,2,6,L,-4,8,REG,,,,,,,,,
1990020095,1990-10-23,1990,1990-91,nhl,regular,VAN,DET,A,0,6,L,-6,6,REG,,,,,,,,,
1990020095,1990-10-23,1990,1990-91,nhl,regular,DET,VAN,H,6,0,W,6,6,REG,,,,,,,,,
1990020096,1990-10-23,1990,1990-91,nhl,regular,CGY,LAK,A,4,6,L,-2,10,REG,,,,,,,,,
1990020096,1990-10-23,1990,1990-91,nhl,regular,LAK,CGY,H,6,4,W,2,10,REG,,,,,,,,,
1990020097,1990-10-24,1990,1990-91,nhl,regular,CAR,DAL,A,0,3,L,-3,3,REG,,,,,,,,,
1990020097,1990-10-24,1990,1990-91,nhl,regular,DAL,CAR,H,3,0,W,3,3,REG,,,,,,,,,
1990020098,1990-10-24,1990,1990-91,nhl,regular,NYI,MTL,A,2,8,L,-6,10,REG,,,,,,,,,
1990020098,1990-10-24,1990,1990-91,nhl,regular,MTL,NYI,H,8,2,W,6,10,REG,,,,,,,,,
1990020099,1990-10-24,1990,1990-91,nhl,regular,STL,TOR,A,8,3,W,5,11,REG,,,,,,,,,
1990020099,1990-10-24,1990,1990-91,nhl,regular,TOR,STL,H,3,8,L,-5,11,REG,,,,,,,,,
1990020100,1990-10-24,1990,1990-91,nhl,regular,EDM,ARI,A,1,3,L,-2,4,REG,,,,,,,,,
1990020100,1990-10-24,1990,1990-91,nhl,regular,ARI,EDM,H,3,1,W,2,4,REG,,,,,,,,,
1990020101,1990-10-25,1990,1990-91,nhl,regular,VAN,BOS,A,2,4,L,-2,6,REG,,,,,,,,,
1990020101,1990-10-25,1990,1990-91,nhl,regular,BOS,VAN,H,4,2,W,2,6,REG,,,,,,,,,
1990020102,1990-10-25,1990,1990-91,nhl,regular,BUF,NJD,A,1,5,L,-4,6,REG,,,,,,,,,
1990020102,1990-10-25,1990,1990-91,nhl,regular,NJD,BUF,H,5,1,W,4,6,REG,,,,,,,,,
1990020103,1990-10-25,1990,1990-91,nhl,regular,COL,PIT,A,3,6,L,-3,9,REG,,,,,,,,,
1990020103,1990-10-25,1990,1990-91,nhl,regular,PIT,COL,H,6,3,W,3,9,REG,,,,,,,,,
1990020104,1990-10-25,1990,1990-91,nhl,regular,PHI,NYR,A,3,5,L,-2,8,REG,,,,,,,,,
1990020104,1990-10-25,1990,1990-91,nhl,regular,NYR,PHI,H,5,3,W,2,8,REG,,,,,,,,,
1990020105,1990-10-25,1990,1990-91,nhl,regular,WSH,CHI,A,2,3,L,-1,5,OT,,,,,,,,,
1990020105,1990-10-25,1990,1990-91,nhl,regular,CHI,WSH,H,3,2,W,1,5,OT,,,,,,,,,
1990020106,1990-10-25,1990,1990-91,nhl,regular,TOR,STL,A,5,8,L,-3,13,REG,,,,,,,,,
1990020106,1990-10-25,1990,1990-91,nhl,regular,STL,TOR,H,8,5,W,3,13,REG,,,,,,,,,
1990020107,1990-10-25,1990,1990-91,nhl,regular,EDM,CGY,A,2,4,L,-2,6,REG,,,,,,,,,
1990020107,1990-10-25,1990,1990-91,nhl,regular,CGY,EDM,H,4,2,W,2,6,REG,,,,,,,,,
1990020108,1990-10-26,1990,1990-91,nhl,regular,DAL,DET,A,6,8,L,-2,14,REG,,,,,,,,,
1990020108,1990-10-26,1990,1990-91,nhl,regular,DET,DAL,H,8,6,W,2,14,REG,,,,,,,,,
1990020109,1990-10-26,1990,1990-91,nhl,regular,LAK,ARI,A,2,6,L,-4,8,REG,,,,,,,,,
1990020109,1990-10-26,1990,1990-91,nhl,regular,ARI,LAK,H,6,2,W,4,8,REG,,,,,,,,,
1990020110,1990-10-27,1990,1990-91,nhl,regular,CHI,BOS,A,4,5,L,-1,9,REG,,,,,,,,,
1990020110,1990-10-27,1990,1990-91,nhl,regular,BOS,CHI,H,5,4,W,1,9,REG,,,,,,,,,
1990020111,1990-10-27,1990,1990-91,nhl,regular,VAN,CAR,A,4,2,W,2,6,REG,,,,,,,,,
1990020111,1990-10-27,1990,1990-91,nhl,regular,CAR,VAN,H,2,4,L,-2,6,REG,,,,,,,,,
1990020112,1990-10-27,1990,1990-91,nhl,regular,BUF,TOR,A,3,1,W,2,4,REG,,,,,,,,,
1990020112,1990-10-27,1990,1990-91,nhl,regular,TOR,BUF,H,1,3,L,-2,4,REG,,,,,,,,,
1990020113,1990-10-27,1990,1990-91,nhl,regular,MTL,STL,A,0,3,L,-3,3,REG,,,,,,,,,
1990020113,1990-10-27,1990,1990-91,nhl,regular,STL,MTL,H,3,0,W,3,3,REG,,,,,,,,,
1990020114,1990-10-27,1990,1990-91,nhl,regular,NYR,COL,A,4,1,W,3,5,REG,,,,,,,,,
